antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'Sivir'}),frozenset({'Darius'}),0.02463768115942029,0.10579710144927536,0.007246376811594203,0.29411764705882354,2.7800161160354553,1.0,0.004639781558496115,1.2667874396135268,0.6564635958395246,0.05882352941176471,0.21060158261035372,0.18130539887187752
frozenset({'Brand'}),frozenset({'Jhin'}),0.03333333333333333,0.0782608695652174,0.007246376811594203,0.21739130434782608,2.7777777777777777,1.0,0.00463768115942029,1.1777777777777778,0.6620689655172414,0.06944444444444443,0.15094339622641506,0.15499194847020933
frozenset({'Yorick'}),frozenset({'MissFortune'}),0.04492753623188406,0.10579710144927536,0.013043478260869565,0.29032258064516125,2.744144940344675,1.0,0.008290275152278932,1.2600131752305666,0.6654864272466701,0.09473684210526317,0.2063575050975061,0.20680512593901898
frozenset({'MissFortune'}),frozenset({'Yorick'}),0.10579710144927536,0.04492753623188406,0.013043478260869565,0.1232876712328767,2.744144940344675,1.0,0.008290275152278932,1.0893795289855073,0.7107869620025211,0.09473684210526317,0.08204627185232917,0.20680512593901898
frozenset({'DrMundo'}),frozenset({'Malzahar'}),0.036231884057971016,0.059420289855072465,0.005797101449275362,0.16,2.6926829268292685,1.0,0.0036441923965553455,1.119737750172533,0.6522556390977444,0.06451612903225806,0.1069337442218798,0.12878048780487805
frozenset({'Kayn'}),frozenset({'Malzahar'}),0.05507246376811594,0.059420289855072465,0.008695652173913044,0.15789473684210525,2.657252888318357,1.0,0.005423230413778618,1.1169384057971015,0.6600204498977505,0.08219178082191782,0.1046954829292028,0.15211810012836968
frozenset({'Malzahar'}),frozenset({'Kayn'}),0.059420289855072465,0.05507246376811594,0.008695652173913044,0.14634146341463414,2.657252888318357,1.0,0.005423230413778618,1.1069151138716358,0.6630713918849511,0.08219178082191782,0.09658835852162201,0.15211810012836968
frozenset({'Braum'}),frozenset({'Jinx'}),0.02463768115942029,0.11159420289855072,0.007246376811594203,0.29411764705882354,2.635599694423224,1.0,0.004496954421340054,1.2585748792270532,0.6362555720653789,0.05617977528089888,0.2054505325784474,0.17952635599694425
frozenset({'AurelionSol'}),frozenset({'MissFortune'}),0.02608695652173913,0.10579710144927536,0.007246376811594203,0.2777777777777778,2.625570776255708,1.0,0.004486452425960933,1.2381270903010033,0.6357142857142858,0.058139534883720936,0.1923284710967045,0.17313546423135465
frozenset({'Akshan'}),frozenset({'Caitlyn'}),0.02753623188405797,0.10289855072463767,0.007246376811594203,0.2631578947368421,2.557449962935508,1.0,0.004412938458307079,1.217494824016563,0.6262295081967214,0.05882352941176471,0.17864127200068022,0.16679021497405486
frozenset({'Aphelios'}),frozenset({'Yasuo'}),0.028985507246376812,0.0782608695652174,0.005797101449275362,0.2,2.5555555555555554,1.0,0.003528670447385003,1.1521739130434783,0.6268656716417911,0.05714285714285714,0.1320754716981132,0.13703703703703704
frozenset({'Velkoz'}),frozenset({'Warwick'}),0.03333333333333333,0.06811594202898551,0.005797101449275362,0.17391304347826086,2.5531914893617023,1.0,0.003526570048309179,1.1280701754385964,0.6293103448275862,0.06060606060606061,0.1135303265940902,0.12950971322849214
frozenset({'Shen'}),frozenset({'Nocturne'}),0.0463768115942029,0.04927536231884058,0.005797101449275362,0.125,2.536764705882353,1.0,0.0035118672547784077,1.0865424430641821,0.6352583586626139,0.06451612903225806,0.07964939024390244,0.1213235294117647
frozenset({'Nocturne'}),frozenset({'Shen'}),0.04927536231884058,0.0463768115942029,0.005797101449275362,0.11764705882352941,2.536764705882353,1.0,0.0035118672547784077,1.0807729468599034,0.6371951219512194,0.06451612903225806,0.0747362774897193,0.1213235294117647
frozenset({'Pyke'}),frozenset({'Teemo'}),0.03768115942028986,0.06086956521739131,0.005797101449275362,0.15384615384615383,2.527472527472527,1.0,0.0035034656584751103,1.1098814229249012,0.6280120481927711,0.0625,0.09900284900284897,0.12454212454212453
frozenset({'Soraka'}),frozenset({'Darius'}),0.021739130434782608,0.10579710144927536,0.005797101449275362,0.26666666666666666,2.5205479452054793,1.0,0.0034971644612476374,1.2193675889328062,0.6166666666666667,0.04761904761904762,0.17990275526742303,0.16073059360730593
frozenset({'Briar'}),frozenset({'Mordekaiser'}),0.042028985507246375,0.05507246376811594,0.005797101449275362,0.13793103448275862,2.50453720508167,1.0,0.0034824616677168662,1.0961159420289857,0.6270801815431165,0.06349206349206349,0.08768775121641632,0.12159709618874773
frozenset({'Mordekaiser'}),frozenset({'Briar'}),0.05507246376811594,0.042028985507246375,0.005797101449275362,0.10526315789473685,2.50453720508167,1.0,0.0034824616677168662,1.0706734867860186,0.6357361963190183,0.06349206349206349,0.06600844016243333,0.12159709618874773
frozenset({'Morgana'}),frozenset({'Ezreal'}),0.04782608695652174,0.06086956521739131,0.007246376811594203,0.15151515151515152,2.489177489177489,1.0,0.004335223692501575,1.1068322981366459,0.6283105022831049,0.07142857142857142,0.09652076318742984,0.13528138528138528
frozenset({'Ezreal'}),frozenset({'Morgana'}),0.06086956521739131,0.04782608695652174,0.007246376811594203,0.11904761904761904,2.489177489177489,1.0,0.004335223692501575,1.0808460634547592,0.637037037037037,0.07142857142857142,0.07479886931941725,0.13528138528138528
frozenset({'Thresh'}),frozenset({'Viego'}),0.0463768115942029,0.050724637681159424,0.005797101449275362,0.125,2.464285714285714,1.0,0.003444654484352027,1.0848861283643891,0.6231003039513677,0.06349206349206349,0.0782442748091603,0.11964285714285713
frozenset({'Viego'}),frozenset({'Thresh'}),0.050724637681159424,0.0463768115942029,0.005797101449275362,0.11428571428571428,2.464285714285714,1.0,0.003444654484352027,1.0766713417484806,0.6259541984732825,0.06349206349206349,0.07121146330872774,0.11964285714285713
frozenset({'Teemo'}),frozenset({'Ashe'}),0.06086956521739131,0.06811594202898551,0.010144927536231883,0.16666666666666666,2.4468085106382977,1.0,0.005998739760554504,1.1182608695652174,0.6296296296296295,0.08536585365853659,0.1057542768273717,0.1578014184397163
frozenset({'Nunu'}),frozenset({'Mel'}),0.034782608695652174,0.06811594202898551,0.005797101449275362,0.16666666666666666,2.4468085106382977,1.0,0.0034278512917454316,1.1182608695652174,0.6126126126126126,0.05970149253731343,0.1057542768273717,0.12588652482269502
frozenset({'Twitch'}),frozenset({'Warwick'}),0.034782608695652174,0.06811594202898551,0.005797101449275362,0.16666666666666666,2.4468085106382977,1.0,0.0034278512917454316,1.1182608695652174,0.6126126126126126,0.05970149253731343,0.1057542768273717,0.12588652482269502
frozenset({'Ashe'}),frozenset({'Teemo'}),0.06811594202898551,0.06086956521739131,0.010144927536231883,0.14893617021276595,2.4468085106382977,1.0,0.005998739760554504,1.1034782608695652,0.63452566096423,0.08536585365853659,0.09377462568951929,0.1578014184397163
frozenset({'Ekko'}),frozenset({'Ezreal'}),0.0391304347826087,0.06086956521739131,0.005797101449275362,0.14814814814814814,2.4338624338624335,1.0,0.003415248897290485,1.1024574669187146,0.6131221719457013,0.061538461538461535,0.09293552812071329,0.12169312169312169
frozenset({'Leblanc'}),frozenset({'Caitlyn'}),0.02318840579710145,0.10289855072463767,0.005797101449275362,0.25,2.4295774647887325,1.0,0.0034110480991388368,1.1961352657004831,0.6023738872403562,0.04819277108433735,0.16397415185783526,0.15316901408450703
frozenset({'Sett'}),frozenset({'Jhin'}),0.0463768115942029,0.0782608695652174,0.008695652173913044,0.1875,2.395833333333333,1.0,0.005066162570888469,1.134448160535117,0.6109422492401215,0.075,0.11851415094339622,0.14930555555555555
frozenset({'Jhin'}),frozenset({'Sett'}),0.0782608695652174,0.0463768115942029,0.008695652173913044,0.1111111111111111,2.395833333333333,1.0,0.005066162570888469,1.0728260869565218,0.6320754716981133,0.075,0.06788247213779128,0.14930555555555555
frozenset({'Aatrox'}),frozenset({'Jinx'}),0.021739130434782608,0.11159420289855072,0.005797101449275362,0.26666666666666666,2.3896103896103895,1.0,0.003371140516698173,1.2114624505928853,0.5944444444444444,0.045454545454545456,0.17455138662316477,0.15930735930735931
frozenset({'Soraka'}),frozenset({'Jinx'}),0.021739130434782608,0.11159420289855072,0.005797101449275362,0.26666666666666666,2.3896103896103895,1.0,0.003371140516698173,1.2114624505928853,0.5944444444444444,0.045454545454545456,0.17455138662316477,0.15930735930735931
frozenset({'Yuumi'}),frozenset({'Jinx'}),0.021739130434782608,0.11159420289855072,0.005797101449275362,0.26666666666666666,2.3896103896103895,1.0,0.003371140516698173,1.2114624505928853,0.5944444444444444,0.045454545454545456,0.17455138662316477,0.15930735930735931
frozenset({'Riven'}),frozenset({'Darius'}),0.02318840579710145,0.10579710144927536,0.005797101449275362,0.25,2.363013698630137,1.0,0.0033438353287124556,1.1922705314009663,0.5905044510385757,0.04705882352941177,0.16126418152350083,0.1523972602739726
frozenset({'Graves'}),frozenset({'Caitlyn'}),0.02463768115942029,0.10289855072463767,0.005797101449275362,0.23529411764705882,2.286661143330572,1.0,0.0032619197647553036,1.1731326644370124,0.5768945022288262,0.04761904761904762,0.1475814881687732,0.14581607290803644
frozenset({'Jax'}),frozenset({'Jhin'}),0.04057971014492753,0.0782608695652174,0.007246376811594203,0.17857142857142858,2.2817460317460316,1.0,0.0040705734089476996,1.1221172022684311,0.5854984894259818,0.06493506493506494,0.10882749326145552,0.13558201058201058
frozenset({'Shen'}),frozenset({'Kayn'}),0.0463768115942029,0.05507246376811594,0.005797101449275362,0.125,2.2697368421052633,1.0,0.0032430161730728838,1.0799171842650104,0.5866261398176291,0.06060606060606061,0.07400306748466257,0.11513157894736842
frozenset({'Kayn'}),frozenset({'Shen'}),0.05507246376811594,0.0463768115942029,0.005797101449275362,0.10526315789473685,2.2697368421052633,1.0,0.0032430161730728838,1.0658141517476556,0.5920245398773005,0.06060606060606061,0.061750119980803084,0.11513157894736842
